ToyCar
id,AUC,pAUC
01,0.8033466135458165,0.6639606985591469
02,0.8625056689342403,0.7650674304809644
03,0.6220294784580499,0.5434419381787803
04,0.8140589569160998,0.6492421530015515
Average,0.7754851794635517,0.6554280550551108

ToyConveyor
id,AUC,pAUC
01,0.7854363517060367,0.6434763088824423
02,0.6437797619047619,0.5558231516290727
03,0.7384789021991774,0.6031929009005618
Average,0.722565005269992,0.6008307871373589

fan
id,AUC,pAUC
00,0.5416452442159383,0.4892436747395481
02,0.7398826979472141,0.5528630961568143
04,0.6147272727272727,0.532695374800638
06,0.7649271137026239,0.5361362590148842
Average,0.6652955821482622,0.5277346011779711

pump
id,AUC,pAUC
00,0.6555474452554745,0.5605071071840184
02,0.5887619047619047,0.5794486215538848
04,0.8819148936170212,0.6657334826427771
06,0.7296874999999999,0.5778508771929824
Average,0.7139779359086,0.5958850221434157

slider
id,AUC,pAUC
00,0.969072463768116,0.8520213577421816
02,0.7853125000000001,0.6461759868421053
04,0.9426946107784431,0.7213993066498582
06,0.6841025641025641,0.4898785425101215
Average,0.8452955346622808,0.6773687984360666

valve
id,AUC,pAUC
00,0.6557522123893805,0.5114112715416861
02,0.6713157894736843,0.5203139427516159
04,0.7263157894736842,0.5180055401662049
06,0.4978070175438597,0.4843028624192059
Average,0.6377977022201522,0.5085084042196782

