ToyCar
id,AUC,pAUC
01,0.6382697780307343,0.5347332474612827
02,0.6805215419501134,0.5520945220193341
03,0.5513265306122449,0.5258384055376537
04,0.7033560090702948,0.592015753669889
Average,0.6433684649158469,0.5511704821720399

ToyConveyor
id,AUC,pAUC
01,0.5295702099737533,0.49918842381544415
02,0.5494308035714286,0.5073621553884712
03,0.5463525835866261,0.503818604709521
Average,0.5417845323772693,0.5034563946378121

fan
id,AUC,pAUC
00,0.4619794344473007,0.49573805980246244
02,0.5465982404692081,0.49189689766939343
04,0.457030303030303,0.494896331738437
06,0.4857434402332361,0.5148074267300905
Average,0.487837854545012,0.49933467898509587

pump
id,AUC,pAUC
00,0.4563503649635037,0.5109489051094891
02,0.5165714285714287,0.48270676691729325
04,0.5438297872340425,0.5078387458006719
06,0.2909375,0.47971491228070173
Average,0.45192227019224374,0.49530233252703904

slider
id,AUC,pAUC
00,0.6116521739130435,0.4738367658276125
02,0.503828125,0.47964638157894735
04,0.5874251497005988,0.5266309486290577
06,0.46384615384615385,0.4817813765182186
Average,0.541687900614949,0.49047386813845906

valve
id,AUC,pAUC
00,0.5465486725663716,0.5076851420586865
02,0.49412280701754385,0.4939981532779317
04,0.5348245614035088,0.49907663896583565
06,0.43517543859649116,0.5041551246537396
Average,0.5026678698959788,0.5012287647390483

