2020-09-10 02:16:13,370 - 00_train.py - 00_train.py - 100 - INFO - TARGET MACHINE_TYPE: fan
2020-09-10 02:16:13,379 - 00_train.py - 00_train.py - 101 - INFO - MAKE DATA_LOADER
2020-09-10 02:17:39,201 - 00_train.py - 00_train.py - 108 - INFO - TRAINING
2020-09-10 02:44:22,037 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 42/100:train_score:9.081751, valid_score:8.992830
2020-09-10 02:44:58,519 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 43/100:train_score:9.079226, valid_score:8.979852
2020-09-10 02:45:35,394 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 44/100:train_score:9.077905, valid_score:8.989484
2020-09-10 02:46:12,371 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 45/100:train_score:9.075093, valid_score:8.970657
2020-09-10 02:46:49,266 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 46/100:train_score:9.073510, valid_score:8.990911
2020-09-10 02:47:25,408 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 47/100:train_score:9.072719, valid_score:8.986358
2020-09-10 02:48:01,468 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 48/100:train_score:9.070253, valid_score:8.992579
2020-09-10 02:48:37,977 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 49/100:train_score:9.069385, valid_score:8.973688
2020-09-10 02:49:14,908 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 50/100:train_score:9.067440, valid_score:8.975430
2020-09-10 02:49:51,880 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 51/100:train_score:9.066224, valid_score:8.978263
2020-09-10 02:50:28,610 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 52/100:train_score:9.064976, valid_score:8.983569
2020-09-10 02:51:05,361 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 53/100:train_score:9.064960, valid_score:8.961692
2020-09-10 02:51:42,326 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 54/100:train_score:9.062835, valid_score:8.966639
2020-09-10 02:52:19,294 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 55/100:train_score:9.061021, valid_score:8.987063
2020-09-10 02:52:56,383 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 56/100:train_score:9.059751, valid_score:8.964358
2020-09-10 02:53:32,835 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 57/100:train_score:9.061022, valid_score:8.956355
2020-09-10 02:54:09,728 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 58/100:train_score:9.058063, valid_score:8.979357
2020-09-10 02:54:46,766 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 59/100:train_score:9.057620, valid_score:9.002026
2020-09-10 02:55:23,762 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 60/100:train_score:9.055139, valid_score:8.960661
2020-09-10 02:56:00,654 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 61/100:train_score:9.055296, valid_score:8.961421
2020-09-10 02:56:37,570 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 62/100:train_score:9.053422, valid_score:8.981061
2020-09-10 02:57:14,561 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 63/100:train_score:9.052408, valid_score:8.990510
2020-09-10 02:57:51,384 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 64/100:train_score:9.052375, valid_score:8.985467
2020-09-10 02:58:28,350 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 65/100:train_score:9.050558, valid_score:8.956240
2020-09-10 02:59:05,279 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 66/100:train_score:9.049128, valid_score:8.979392
2020-09-10 02:59:42,204 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 67/100:train_score:9.049163, valid_score:8.963284
2020-09-10 03:00:19,311 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 68/100:train_score:9.048019, valid_score:8.976141
2020-09-10 03:00:55,970 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 69/100:train_score:9.048356, valid_score:8.951903
2020-09-10 03:01:32,930 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 70/100:train_score:9.045637, valid_score:8.954844
2020-09-10 03:02:09,860 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 71/100:train_score:9.047686, valid_score:8.951293
2020-09-10 03:02:46,821 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 72/100:train_score:9.045222, valid_score:8.954152
