ToyCar
id,AUC,pAUC
01,0.637211155378486,0.521433064733547
02,0.6750566893424036,0.526375462465688
03,0.5723696145124717,0.5286430361618332
04,0.6897732426303855,0.5629550065640291
Average,0.6436026754659367,0.5348516424812743

ToyConveyor
id,AUC,pAUC
01,0.4301082677165355,0.49338651747478934
02,0.520048363095238,0.5077145989974937
03,0.5674168603611658,0.522680292721792
Average,0.5058578303909798,0.507927136398025

fan
id,AUC,pAUC
00,0.4548071979434447,0.49316736571505887
02,0.5646334310850439,0.5280135823429541
04,0.4478181818181818,0.4982456140350877
06,0.5,0.524321006598128
Average,0.4918147027116676,0.5109368921728071

pump
id,AUC,pAUC
00,0.5231386861313869,0.5251632731463696
02,0.504,0.48721804511278194
04,0.5468085106382978,0.49720044792833146
06,0.30270833333333336,0.4819078947368421
Average,0.4691638825257545,0.4978724152310812

slider
id,AUC,pAUC
00,0.5955072463768116,0.47475209763539283
02,0.504765625,0.4810855263157895
04,0.5075449101796407,0.5042546485975418
06,0.43512820512820516,0.48110661268556004
Average,0.5107364966711644,0.485299721308571

valve
id,AUC,pAUC
00,0.5153982300884956,0.5086166744294364
02,0.4916666666666667,0.4806094182825485
04,0.5339473684210526,0.502770083102493
06,0.39675438596491225,0.48984302862419205
Average,0.48444166278528183,0.4954598011096675

